,sepal.length,sepal.width,petal.length,petal.width
95,5.7,3.0,4.2,1.2
88,5.6,3.0,4.1,1.3
0,5.1,3.5,1.4,0.2
46,5.1,3.8,1.6,0.2
11,4.8,3.4,1.6,0.2
106,4.9,2.5,4.5,1.7
85,6.0,3.4,4.5,1.6
1,4.9,3.0,1.4,0.2
51,6.4,3.2,4.5,1.5
130,7.4,2.8,6.1,1.9
55,5.7,2.8,4.5,1.3
134,6.1,2.6,5.6,1.4
37,4.9,3.6,1.4,0.1
65,6.7,3.1,4.4,1.4
56,6.3,3.3,4.7,1.6
2,4.7,3.2,1.3,0.2
5,5.4,3.9,1.7,0.4
49,5.0,3.3,1.4,0.2
113,5.7,2.5,5.0,2.0
44,5.1,3.8,1.9,0.4
132,6.4,2.8,5.6,2.2
148,6.2,3.4,5.4,2.3
31,5.4,3.4,1.5,0.4
100,6.3,3.3,6.0,2.5
62,6.0,2.2,4.0,1.0
64,5.6,2.9,3.6,1.3
66,5.6,3.0,4.5,1.5
41,4.5,2.3,1.3,0.3
39,5.1,3.4,1.5,0.2
80,5.5,2.4,3.8,1.1
97,6.2,2.9,4.3,1.3
92,5.8,2.6,4.0,1.2
69,5.6,2.5,3.9,1.1
86,6.7,3.1,4.7,1.5
54,6.5,2.8,4.6,1.5
96,5.7,2.9,4.2,1.3
23,5.1,3.3,1.7,0.5
68,6.2,2.2,4.5,1.5
87,6.3,2.3,4.4,1.3
9,4.9,3.1,1.5,0.1
38,4.4,3.0,1.3,0.2
84,5.4,3.0,4.5,1.5
53,5.5,2.3,4.0,1.3
91,6.1,3.0,4.6,1.4
19,5.1,3.8,1.5,0.3
48,5.3,3.7,1.5,0.2
115,6.4,3.2,5.3,2.3
36,5.5,3.5,1.3,0.2
30,4.8,3.1,1.6,0.2
60,5.0,2.0,3.5,1.0
138,6.0,3.0,4.8,1.8
142,5.8,2.7,5.1,1.9
121,5.6,2.8,4.9,2.0
103,6.3,2.9,5.6,1.8
128,6.4,2.8,5.6,2.1
102,7.1,3.0,5.9,2.1
82,5.8,2.7,3.9,1.2
116,6.5,3.0,5.5,1.8
135,7.7,3.0,6.1,2.3
109,7.2,3.6,6.1,2.5
8,4.4,2.9,1.4,0.2
112,6.8,3.0,5.5,2.1
27,5.2,3.5,1.5,0.2
4,5.0,3.6,1.4,0.2
14,5.8,4.0,1.2,0.2
145,6.7,3.0,5.2,2.3
52,6.9,3.1,4.9,1.5
70,5.9,3.2,4.8,1.8
139,6.9,3.1,5.4,2.1
123,6.3,2.7,4.9,1.8
94,5.6,2.7,4.2,1.3
42,4.4,3.2,1.3,0.2
127,6.1,3.0,4.9,1.8
33,5.5,4.2,1.4,0.2
93,5.0,2.3,3.3,1.0
117,7.7,3.8,6.7,2.2
24,4.8,3.4,1.9,0.2
78,6.0,2.9,4.5,1.5
63,6.1,2.9,4.7,1.4
126,6.2,2.8,4.8,1.8
45,4.8,3.0,1.4,0.3
29,4.7,3.2,1.6,0.2
125,7.2,3.2,6.0,1.8
144,6.7,3.3,5.7,2.5
59,5.2,2.7,3.9,1.4
90,5.5,2.6,4.4,1.2
79,5.7,2.6,3.5,1.0
124,6.7,3.3,5.7,2.1
140,6.7,3.1,5.6,2.4
43,5.0,3.5,1.6,0.6
120,6.9,3.2,5.7,2.3
17,5.1,3.5,1.4,0.3
77,6.7,3.0,5.0,1.7
3,4.6,3.1,1.5,0.2
18,5.7,3.8,1.7,0.3
146,6.3,2.5,5.0,1.9
136,6.3,3.4,5.6,2.4
107,7.3,2.9,6.3,1.8
10,5.4,3.7,1.5,0.2
32,5.2,4.1,1.5,0.1
110,6.5,3.2,5.1,2.0
83,6.0,2.7,5.1,1.6
61,5.9,3.0,4.2,1.5
131,7.9,3.8,6.4,2.0
25,5.0,3.0,1.6,0.2
141,6.9,3.1,5.1,2.3
6,4.6,3.4,1.4,0.3
7,5.0,3.4,1.5,0.2
101,5.8,2.7,5.1,1.9
105,7.6,3.0,6.6,2.1
16,5.4,3.9,1.3,0.4
26,5.0,3.4,1.6,0.4
40,5.0,3.5,1.3,0.3
118,7.7,2.6,6.9,2.3
71,6.1,2.8,4.0,1.3
22,4.6,3.6,1.0,0.2
75,6.6,3.0,4.4,1.4
137,6.4,3.1,5.5,1.8
15,5.7,4.4,1.5,0.4
99,5.7,2.8,4.1,1.3
